교과목,교수,시간,장소,학점,영역
동양철학의이해,도민재,"금(1,2)", 13-201,2,제2영역:역사와철학
논리와사고,김준승,"화(5,6)", 13-301 ,2,제2영역:역사와철학
철학과사상,김준승,"화(1,2,3)", 13-301 ,3,제2영역:역사와철학
서양문화사,송영대,"수(4,5,6)", 13-103 ,3,제2영역:역사와철학
수학의이해,김인경,"목(1,2)", 13-401 ,2,제4영역:과학과기술
미래문화와정보전략,김혜영,"월(7,8)", 13-301,2,제3영역:인간과사회
생활과법률,조민우,"월(7,8,9)", 13-303 ,3,제3영역:인간과사회
지방자치와행정,유태종,"월(3,4)", 13-201 ,2,제5영역:정치와경제
정치학의이해,최선영,"수(3,4)", 13-203 ,2,제5영역:정치와경제
정치학의이해,최선영,"수(6,7)", 13-203 ,2,제5영역:정치와경제
현대의경제생활,김종구,"수(8,9)", 09-312 ,2,제5영역:정치와경제
개발과환경,박종광,"수(5,6)", 13-101 ,2,제5영역:정치와경제
현대회계의이해,정훈,"목(8,9)", 13-301 ,2,제5영역:정치와경제
생명의신비,조성규,"수(8,9)", 13-301 ,2,제4영역:과학과기술
건축의이해,정진주,"수(1,2)", 13-201 ,2,제4영역:과학과기술
건축의이해,정진주,"수(5,6)", 13-501 ,2,제4영역:과학과기술
남북한정치의이해,유호근,"화(6,7)", 13-303 ,2,제5영역:정치와경제
성의사회학,이영범,"월(8,9)", 13-401 ,2,제3영역:인간과사회
인간생활과토지,박정호,"금(1,2)", 13-202 ,2,제5영역:정치와경제
생활과공예,황성실,"화(1,2)", 13-103 ,2,제1영역:문화와예술
배드민턴,장주선,"금(3,4)", 51-202 ,2,일반영역
탁구,김버들,"수(1,2)", 51-202 ,2,일반영역
농구,김헌일,"화(1,2)", 51-202 ,2,일반영역
사회봉사2,김현진,금(3), 13-303 ,1,일반영역
사회봉사2,김헌진,월(9), 13-102 ,1,일반영역
사회봉사2,홍석호,목(3), 13-303 ,1,일반영역
역사란무엇인가,송영대,"수(1,2)", 13-203 ,2,제2영역:역사와철학
취업전략과사회진출,김형욱,화(3), 13-203 ,1,일반영역
취업전략과사회진출,김형욱,화(4), 13-203 ,1,일반영역
무기체계론,전규호,"월(5,6)", 13-402 ,2,일반영역
전쟁사,손인배,"월(3,4)", 13-202 ,2,제2영역:역사와철학
전쟁사,손인배,"월(6,7)", 13-202 ,2,제2영역:역사와철학
전쟁사,손인배,"화(3,4)", 13-202 ,2,제2영역:역사와철학
북한학,전규호,"월(8,9)", 13-402 ,2,제5영역:정치와경제
북한학,전규호,"수(3,4)", 13-102 ,2,제5영역:정치와경제
북한학,전규호,"수(8,9)", 13-102 ,2,제5영역:정치와경제
국가안보론,전규호,"목(5,6)", 13-103 ,2,제5영역:정치와경제
국가안보론,전규호,"목(8,9)", 13-103 ,2,제5영역:정치와경제
리더십,손인배,"화(6,7)", 13-202 ,2,일반영역
리더십,손인배,"목(3,4)", 13-202 ,2,일반영역
리더십,손인배,"목(6,7)", 13-202 ,2,일반영역
자연과학의이해,이은경,"수(1,2)", 13-301,2,제4영역:과학과기술
호신술,지용석,"목(8,9)", 51-116 ,2,일반영역
세계화와나,김종구,"수(1,2)", 09-312 ,2,제3영역:인간과사회
글로벌시대의창조와도전,하민철,"수(7,8)", 08-001 ,2,일반영역
독서와토론,김상태,"수(1,2)", 13-103,2,일반영역
문화유산으로본한국사,박성준,"월(8,9)", 13-101 ,2,제2영역:역사와철학
중국여행포커스,이시찬,"월(6,7)", 13-103 ,2,일반영역
문화기호학,김상태,"목(1,2)", 42-304 ,2,제1영역:문화와예술
토익L/CⅠ,함은경,"월(6,7)", 20-421 ,2,일반영역
토익L/CⅠ,함은경,"월(3,4)", 09-402 ,2,일반영역
토익L/CⅠ,함은경,"수(6,7)", 20-421 ,2,일반영역
토익L/CⅠ,함은경,"수(3,4)", 09-308 ,2,일반영역
토익L/CⅡ,신광인,"화(3,4)", 13-103 ,2,일반영역
