교과목,교수,시간,장소,학점,영역
매스컴과현대사회,안종묵,(온라인),(온라인),2,제3영역:인간과사회
매스컴과현대사회,안종묵,(온라인),(온라인),2,제3영역:인간과사회
관광산업의이해,이익수,(온라인),(온라인),2,제5영역:정치와경제
관광산업의이해,이익수,(온라인),(온라인),2,제5영역:정치와경제
현대생활과패션,이유진,(온라인),(온라인),2,일반영역
현대생활과패션,이유진,(온라인),(온라인),2,일반영역
공연예술과일상생활,어일선,(온라인),(온라인),2,제1영역:문화와예술
공연예술과일상생활,어일선,(온라인),(온라인),2,제1영역:문화와예술
성공하는프리젠테이션,김찬석,(온라인),(온라인),2,일반영역
성공하는프리젠테이션,김찬석,(온라인),(온라인),2,일반영역
광고로배우는아이디어발상법,정상수,(온라인),(온라인),2,일반영역
광고로배우는아이디어발상법,정상수,(온라인),(온라인),2,일반영역
현대생활과광고,김철호,(온라인),(온라인),2,제3영역:인간과사회
현대생활과광고,김철호,(온라인),(온라인),2,제3영역:인간과사회
러시아문화산책,이영범,(온라인),(온라인),2,제1영역:문화와예술
러시아문화산책,이영범,(온라인),(온라인),2,제1영역:문화와예술
생활속의마케팅,이원준,(온라인),(온라인),2,일반영역
생활속의마케팅,이원준,(온라인),(온라인),2,일반영역
취업을위한자기PR,김찬석,(온라인),(온라인),2,일반영역
취업을위한자기PR,김찬석,(온라인),(온라인),2,일반영역
스마트한학습으로의여행,최미나,(온라인),(온라인),2,일반영역
스마트한학습으로의여행,최미나,(온라인),(온라인),2,일반영역
헌법으로읽는한국사회,조한상,(온라인),(온라인),2,제3영역:인간과사회
헌법으로읽는한국사회,조한상,(온라인),(온라인),2,제3영역:인간과사회
인공지능의이해,김시정,(온라인),(온라인),2,제6영역:SW영역
인공지능의이해,김시정,(온라인),(온라인),2,제6영역:SW영역
미래사회와소프트웨어,김시정,(온라인),(온라인),2,제6영역:SW영역
미래사회와소프트웨어,김시정,(온라인),(온라인),2,제6영역:SW영역
세상을연결하는컴퓨터네트워크,김봉한,(온라인),(온라인),2,제4영역:과학과기술
세상을연결하는컴퓨터네트워크,김봉한,(온라인),(온라인),2,제4영역:과학과기술
일본인의삶,권영성,(온라인),(온라인),2,일반영역
일본인의삶,권영성,(온라인),(온라인),2,일반영역
