교과목,교수명,수업형태,시간,장소,학점,영역,구분,
동양철학의이해,도민재,오프라인,"금(1,2)", 13-201,2,제2영역:역사와철학,공통,
논리와사고,김준승,오프라인,"화(5,6)", 13-301 ,2,제2영역:역사와철학,공통,
철학과사상,김준승,오프라인,"화(1,2,3)", 13-301 ,3,제2영역:역사와철학,공통,
동양문화사,도민재,오프라인,"월(1,2),화(3)", 13-403 ,3,제2영역:역사와철학,공통,
서양문화사,송영대,오프라인,"수(4,5,6)", 13-103 ,3,제2영역:역사와철학,공통,
수학의이해,김인경,오프라인,"목(1,2)", 13-401 ,2,제4영역:과학과기술,공통,
미래문화와정보전략,김혜영,오프라인,"월(7,8)", 13-301,2,제3영역:인간과사회,공통,
매스컴과현대사회,안종묵,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
매스컴과현대사회,안종묵,온라인(동영상콘텐츠),(온라인),(온라인),2,제3영역:인간과사회,공통,
생활과법률,조민우,오프라인,"월(7,8,9)", 13-303 ,3,제3영역:인간과사회,공통,
지방자치와행정,유태종,오프라인,"월(3,4)", 13-201 ,2,제5영역:정치와경제,공통,
정치학의이해,최선영,오프라인,"수(3,4)", 13-203 ,2,제5영역:정치와경제,공통,
정치학의이해,최선영,오프라인,"수(6,7)", 13-203 ,2,제5영역:정치와경제,공통,
현대의경제생활,김종구,온오프병행,"수(8,9)", 09-312 ,2,제5영역:정치와경제,공통,
개발과환경,박종광,오프라인,"수(5,6)", 13-101 ,2,제5영역:정치와경제,공통,
관광산업의이해,이익수,온라인(동영상콘텐츠),(온라인),(온라인),2,제5영역:정치와경제,공통,
관광산업의이해,이익수,온라인(동영상콘텐츠),(온라인),(온라인),2,제5영역:정치와경제,공통,
현대회계의이해,정훈,오프라인,"목(8,9)", 13-301 ,2,제5영역:정치와경제,공통,
생명의신비,조성규,오프라인,"수(8,9)", 13-301 ,2,제4영역:과학과기술,공통,
건축의이해,정진주,오프라인,"수(1,2)", 13-201 ,2,제4영역:과학과기술,공통,
건축의이해,정진주,오프라인,"수(5,6)", 13-501 ,2,제4영역:과학과기술,공통,
남북한정치의이해,유호근,오프라인,"화(6,7)", 13-303 ,2,제5영역:정치와경제,공통,
성의사회학,이영범,오프라인,"월(8,9)", 13-401 ,2,제3영역:인간과사회,공통,
인간생활과토지,박정호,오프라인,"금(1,2)", 13-202 ,2,제5영역:정치와경제,공통,
현대생활과패션,이유진,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
현대생활과패션,이유진,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
생활과공예,황성실,오프라인,"화(1,2)", 13-103 ,2,제1영역:문화와예술,공통,
배드민턴,장주선,오프라인,"금(3,4)", 51-202 ,2,일반영역,공통,
탁구,김버들,오프라인,"수(1,2)", 51-202 ,2,일반영역,공통,
농구,김헌일,오프라인,"화(1,2)", 51-202 ,2,일반영역,공통,
사회봉사2,김현진,오프라인,금(3), 13-303 ,1,일반영역,공통,
사회봉사2,김헌진,오프라인,월(9), 13-102 ,1,일반영역,공통,
사회봉사2,홍석호,오프라인,목(3), 13-303 ,1,일반영역,공통,
역사란무엇인가,송영대,오프라인,"수(1,2)", 13-203 ,2,제2영역:역사와철학,공통,
취업전략과사회진출,김형욱,오프라인,화(3), 13-203 ,1,일반영역,공통,
취업전략과사회진출,김형욱,오프라인,화(4), 13-203 ,1,일반영역,공통,
무기체계론,전규호,오프라인,"월(5,6)", 13-402 ,2,일반영역,공통,
전쟁사,손인배,오프라인,"월(3,4)", 13-202 ,2,제2영역:역사와철학,공통,
전쟁사,손인배,오프라인,"월(6,7)", 13-202 ,2,제2영역:역사와철학,공통,
전쟁사,손인배,오프라인,"화(3,4)", 13-202 ,2,제2영역:역사와철학,공통,
북한학,전규호,오프라인,"월(8,9)", 13-402 ,2,제5영역:정치와경제,공통,
북한학,전규호,오프라인,"수(3,4)", 13-102 ,2,제5영역:정치와경제,공통,
북한학,전규호,오프라인,"수(8,9)", 13-102 ,2,제5영역:정치와경제,공통,
국가안보론,전규호,오프라인,"목(5,6)", 13-103 ,2,제5영역:정치와경제,공통,
